,,,,Revenues,Sales,Customers
Year,Utility Number,Utility Name,Ownership,"47,920.50","368,014","33,096"
2024,84,A & N Electric Coop,Cooperative,"995,624.00","5,850,904","465,283"
2024,733,Appalachian Power Co,Investor Owned,"21,515.00","195,777","13,633"
2024,2248,Bristol Virginia Utilities,Municipal,"80,033.00","495,787","34,893"
2024,3291,Central Virginia Electric Coop,Cooperative,"67,661.60","450,854","37,781"
2024,4794,City of Danville - (VA),Municipal,"23,125.00","203,590","18,089"
2024,8198,City of Harrisonburg - (VA),Municipal,"46,449.10","325,240","22,669"
2024,10171,Kentucky Utilities Co,Investor Owned,"19,329.00","166,150","13,947"
2024,11560,City of Manassas - (VA),Municipal,"50,807.00","350,293","30,016"
2024,12260,Mecklenburg Electric Cooperative,Cooperative,0,0,0
2024,13374,"Constellation NewEnergy, Inc",Retail Power Marketer,"265,681.00","2,296,226","167,274"
2024,13640,Northern Virginia Elec Coop,Cooperative,"39,223.00","243,248","17,991"
2024,13762,"Northern Neck Elec Coop, Inc",Cooperative,"9,884.00","86,575","6,589"
2024,15293,Powell Valley Electric Coop,Cooperative,"22,296.00","170,875","10,954"
2024,15410,Prince George Electric Coop,Cooperative,"18,847.50","124,695","11,298"
2024,16558,City of Salem - (VA),Municipal,0,0,0
2024,16840,"Calpine Energy Solutions, LLC",Retail Power Marketer,"164,727.50","1,192,869","85,281"
2024,17066,Shenandoah Valley Elec Coop,Cooperative,0,0,0
2024,18193,Direct Energy Business,Retail Power Marketer,"4,051,030.40","28,742,267","2,383,548"
2024,19876,Virginia Electric & Power Co,Investor Owned,0,0,0
2024,19876,Virginia Electric & Power Co,Investor Owned,"9,177.60","53,434","5,660"
2024,19882,Virginia Tech Electric Service,State,"116,956.90","755,643","56,846"
2024,21244,"Southside Electric Coop, Inc",Cooperative,"346,690.00","2,328,716","169,489"
2024,40228,Rappahannock Electric Coop,Cooperative,0,0,0
2024,50046,"Texas Retail Energy, LLC",Retail Power Marketer,11,274,66
2024,57313,Tesla Inc.,Behind the Meter,0.4,4,2
2024,59579,Sunnova,Behind the Meter,0,0,0
2024,59676,"Collegiate Clean Energy, LLC",Retail Power Marketer,0,0,0
2024,59808,MP2 Energy LLC,Retail Power Marketer,0,0,0
2024,64314,BP Energy Retail LLC,Retail Power Marketer,0,0,0
2024,99999,Adjustment 2024,,"127,043.10","871,390","70,076"
2024,99999,Adjustment 2024,,0,0,0
