County,FIPS,Dollars,Rank 
United States,0,"80,734",N/A
Virginia,51000,"93,170",12 of 52
Galax City,51640,"38,675","3,086"
Norton City,51720,"41,495","3,045"
Lee County,51105,"41,827","3,032"
Covington City,51580,"41,944","3,028"
Buchanan County,51027,"42,886","3,005"
Danville City,51590,"44,423","2,978"
Scott County,51169,"46,349","2,917"
Martinsville City,51690,"46,727","2,905"
Dickenson County,51051,"47,254","2,887"
Tazewell County,51185,"47,313","2,885"
Grayson County,51077,"47,730","2,880"
Smyth County,51173,"49,883","2,774"
Russell County,51167,"50,012","2,768"
Bristol City,51520,"50,404","2,749"
Petersburg City,51730,"50,698","2,732"
Henry County,51089,"50,760","2,725"
Emporia City,51595,"51,899","2,663"
Halifax County with South Boston City,51083,"52,013","2,656"
Wise County,51195,"52,943","2,601"
Patrick County,51141,"53,038","2,593"
Brunswick County,51025,"53,084","2,588"
Pittsylvania County,51143,"54,085","2,525"
Carroll County,51035,"54,484","2,503"
Greensville County,51081,"54,668","2,493"
Hopewell City,51670,"54,729","2,488"
Lunenburg County,51111,"54,842","2,483"
Cumberland County,51049,"55,325","2,452"
Roanoke City,51770,"55,378","2,444"
Bath County,51017,"56,184","2,397"
Alleghany County and Clifton Forge City,51005,"56,188","2,396"
Prince Edward County,51147,"56,315","2,388"
Essex County,51057,"56,520","2,369"
Page County,51139,"57,037","2,325"
Mecklenburg County,51117,"57,045","2,324"
Radford City,51750,"57,348","2,303"
Wythe County,51197,"57,745","2,282"
Buena Vista City,51530,"57,833","2,268"
Lynchburg City,51680,"57,947","2,260"
Charlotte County,51037,"58,000","2,255"
Accomack County,51001,"58,993","2,168"
Waynesboro City,51820,"59,994","2,081"
Portsmouth City,51740,"60,491","2,040"
Buckingham County,51029,"60,828","2,003"
Bland County,51021,"61,216","1,961"
Northampton County,51131,"61,632","1,922"
Pulaski County,51155,"62,028","1,892"
Floyd County,51063,"62,191","1,876"
Harrisonburg City,51660,"62,254","1,867"
Appomattox County,51011,"62,853","1,812"
Franklin City,51620,"63,245","1,770"
Nottoway County,51135,"63,261","1,769"
Westmoreland County,51193,"63,398","1,757"
Sussex County,51183,"63,530","1,745"
Winchester City,51840,"63,974","1,708"
Washington County,51191,"64,552","1,666"
Richmond City,51760,"64,587","1,663"
Rockbridge County,51163,"65,469","1,594"
Staunton City,51790,"65,581","1,583"
Highland County,51091,"65,625","1,574"
Giles County,51071,"65,691","1,569"
Norfolk City,51710,"66,109","1,524"
Campbell County,51031,"66,165","1,516"
Richmond County,51159,"66,304","1,492"
Northumberland County,51133,"66,480","1,466"
Salem City,51775,"66,725","1,451"
Shenandoah County,51171,"67,191","1,412"
Amherst County,51009,"68,724","1,282"
Franklin County,51067,"68,849","1,276"
Craig County,51045,"69,057","1,264"
Hampton City,51650,"69,621","1,225"
Newport News City,51700,"69,634","1,222"
Lancaster County,51103,"69,713","1,215"
King and Queen County,51097,"70,469","1,163"
Southampton County,51175,"70,795","1,137"
Nelson County,51125,"72,589","1,005"
Montgomery County,51121,"72,715",997
Charlottesville City,51540,"74,824",851
Middlesex County,51119,"75,060",832
Charles City County,51036,"75,417",818
Williamsburg City,51830,"75,604",803
Mathews County,51115,"75,880",782
Colonial Heights City,51570,"76,505",747
Amelia County,51007,"76,717",737
Surry County,51181,"78,041",670
Bedford City and County,51917,"78,937",625
Rockingham County,51165,"80,693",552
Botetourt County,51023,"81,213",531
Augusta County,51015,"82,049",504
Rappahannock County,51157,"83,380",471
Dinwiddie County,51053,"83,704",457
Roanoke County,51161,"83,709",456
Gloucester County,51073,"84,306",441
Madison County,51113,"84,323",440
Lexington City,51678,"84,517",435
Warren County,51187,"84,682",430
Prince George County,51149,"84,897",423
King William County,51101,"86,056",401
Fredericksburg City,51630,"86,071",400
Louisa County,51109,"86,689",382
Caroline County,51033,"87,407",363
Henrico County,51087,"88,783",332
Greene County,51079,"89,808",307
Suffolk City,51800,"92,666",258
Virginia Beach City,51810,"92,968",253
Orange County,51137,"94,008",239
Isle of Wight County,51093,"95,241",224
Chesapeake City,51550,"95,373",221
Fluvanna County,51065,"96,768",204
Frederick County,51069,"97,606",191
Culpeper County,51047,"100,049",169
Chesterfield County,51041,"101,931",153
Manassas Park City,51685,"103,250",142
Albemarle County,51003,"104,392",128
York County,51199,"109,956",100
James City County,51095,"109,985",97
Powhatan County,51145,"110,537",94
Spotsylvania County,51177,"112,738",79
Hanover County,51085,"112,805",78
Manassas City,51683,"113,590",76
King George County,51099,"116,884",63
Clarke County,51043,"117,111",62
Goochland County,51075,"118,931",58
Alexandria City,51510,"119,681",54
Poquoson City,51735,"120,972",53
New Kent County,51127,"123,314",46
Fauquier County,51061,"130,189",32
Prince William County,51153,"131,402",27
Fairfax City,51600,"132,348",26
Stafford County,51179,"137,807",18
Arlington County,51013,"142,114",12
Falls Church City,51610,"143,262",11
Fairfax County,51059,"153,637",4
Loudoun County,51107,"181,765",1
