Date,Residential electricity price,Natural Gas Prices,Revenue,Sales,Customers,Total Generation,Average_load_DOM,HDD,CDD
202512,15.27,15.45,762574,4994059,3707509,9078.71,17109.74,462.2,0
202511,15.94,16.58,524406,3290504,3703207,6820.19,14324.4,249.1,0.6
202510,16.36,20.85,463526,2833744,3701796,6274.3,13428.84,105.2,10.3
202509,16.62,26.14,533761,3212354,3697469,8320.07,14679.02,3.1,105.3
202508,15.83,27.07,625827,3952698,3693032,10375.69,15699.18,0.5,153.6
202507,15.78,28.44,798144,5057214,3688612,11193.66,17994.64,0,278.2
202506,15.23,26.11,643136,4221545,3683595,10146.47,16551.11,4.3,208.8
202505,15.26,25.14,453110,2969666,3677026,7268.73,13567.27,26.1,62.5
202504,15.28,21.46,435362,2848428,3675696,6859.4,13196.57,100.9,37.4
202503,14.89,17.49,514588,3454963,3672236,8270.83,13518.37,215.4,12.6
202502,14.22,14.56,627242,4409868,3669420,8643.86,15785.19,367.7,0
202501,13.94,13.28,832754,5971784,3669337,9635.33,17477.29,536.9,0
202412,14.37,13.38,662952,4614360,3675789,8413.85,15346.54,387.7,0.1
202411,14.73,16.15,450827,3060926,3671070,6696.37,13078.54,186.2,13.9
202410,14.79,18.91,415511,2809600,3668616,7353.93,12467.42,82.6,22.7
202409,15.24,23.71,487259,3197933,3665424,8905.45,13575.19,2.5,111.2
202408,14.17,24.83,624217,4406331,3661776,10161.97,15595.33,0.6,224.6
202407,14.17,26.65,682434,4816598,3657458,10542.42,16519.62,0,276.2
202406,15.1,22.88,635123,4205075,3651188,9234.52,15405.78,0,218
202405,14.81,19.88,455254,3074330,3648012,6484.73,13053.04,18.2,89.9
202404,14.78,15.58,406407,2749949,3642727,6302.66,12167.01,100.6,27
202403,14.54,14.9,486230,3344298,3638698,8075.7,12590.72,218.5,1.8
202402,13.8,13.47,549510,3980979,3637652,8853.28,14017.51,332.2,0
202401,13.33,13.72,668308,5012446,3635348,9192.39,15116.31,412.6,3.1
202312,13.54,13.49,567567,4192866,3633002,7750.48,13850.16,329,0.4
202311,13.93,13.86,470764,3379217,3628293,6651.93,12948.12,264,1.1
202310,14.16,15.26,395170,2790178,3633122,6258.25,11885.16,77.4,30.7
202309,14.69,24.26,516168,3513697,3615758,7230.2,13427.02,4.3,137.8
202308,13.85,25.65,638299,4608194,3645545,9409.05,15071.43,0,234.4
202307,13.88,24.23,610315,4397714,3611486,9538.47,15748.83,0,277.8
202306,15.13,21.94,503863,3330706,3613715,7690.57,13081.4,2.7,118.2
202305,15.19,20.72,391584,2578464,3602182,6030.98,11687.98,46.5,26.6
202304,14.58,17.85,416484,2857236,3607183,5797.93,11576.46,91.3,29.3
202303,14.67,15.42,505558,3446796,3605997,7179.92,12381.74,264.3,0.7
202302,14.32,18.69,510446,3564687,3597799,6837.15,13010.82,265.3,1.9
202301,13.96,18.42,619292,4436083,3597143,8166.63,13427.74,336.8,0.4
